04022020,Sheridan Hill to Gillson Park,20.0,4.0,seg,run
04022020,Premium Sidewalk,23.0,4.0,seg,run
04022020,Prime Sidewalk,15.0,4.0,seg,run
04022020,NU sheridan Rd,18.0,4.0,seg,run
04012020,Park Evanston - Lake Michingan,9.0,1.0,seg,run
04012020,Custer/South Blvd Saunter,40.0,1.0,seg,run
03292020,Park Evanston - Lake Michingan,9.0,1.0,seg,run
03252020,Park Evanston - Lake Michingan,9.0,1.0,seg,run
03252020,Hinman downtown route,1.0,1.0,seg,run
03242020,Sheridan Road Climb,71.0,9.0,seg,run
03242020,Lakefront : south blvd to Greenleaf,45.0,9.0,seg,run
03242020,Lee to Hamilton 400m,48.0,9.0,seg,run
03242020,Dawes Park 400m,47.0,9.0,seg,run
03242020,Vendra 2 - Evanston Beach,25.0,9.0,seg,run
03242020,Northwestern - Lakefront Northbound,25.0,9.0,seg,run
03242020,Lakefill Loop,1.0,9.0,seg,run
03242020,Northwestern - Lakefront Southbound,20.0,9.0,seg,run
03242020,Vendra 1 - Evanston Beach,30.0,9.0,seg,run
03222020,Sheridan Road Climb,71.0,5.0,seg,run
03222020,Lakefront : south blvd to Greenleaf,45.0,5.0,seg,run
03222020,Lee to Hamilton 400m,48.0,5.0,seg,run
03222020,Dawes Park 400m,47.0,5.0,seg,run
03222020,Clark St - Sheridan to Chicago,2.0,5.0,seg,run
03212020,Wilson track lap,5.0,2.0,seg,run
03212020,Wilson track lap,5.0,2.0,seg,run
03212020,Wilson track lap,5.0,2.0,seg,run
03212020,Wilson Track Mile ,4.0,2.0,seg,run
03212020,Wilson track lap,5.0,2.0,seg,run
03212020,Wilson track lap,5.0,2.0,seg,run
03212020,Wilson track lap,5.0,2.0,seg,run
03212020,Wilson track lap,5.0,2.0,seg,run
03212020,Wilson Track Mile ,4.0,2.0,seg,run
03212020,Wilson track lap,5.0,2.0,seg,run
03212020,Wilson track lap,5.0,2.0,seg,run
03212020,Wilson track lap,5.0,2.0,seg,run
03212020,Wilson track lap,5.0,2.0,seg,run
03212020,Wilson Track Mile ,4.0,2.0,seg,run
03212020,Wilson track lap,5.0,2.0,seg,run
03212020,Wilson track lap,5.0,2.0,seg,run
03212020,Wilson track lap,5.0,2.0,seg,run
03212020,Wilson track lap,5.0,2.0,seg,run
03212020,Wilson Track Mile ,4.0,2.0,seg,run
03212020,Wilson track lap,5.0,2.0,seg,run
03212020,Rocky Rumble Tumble Reverse,5.0,2.0,seg,run
03192020,Premium Sidewalk,23.0,2.0,seg,run
03192020,Sheridan Hill to Gillson Park,20.0,2.0,seg,run
03182020,Custer/South Blvd Saunter,40.0,1.0,seg,run
03172020,Wilson track lap,5.0,2.0,seg,run
03172020,Wilson track lap,5.0,2.0,seg,run
03172020,Wilson track lap,5.0,2.0,seg,run
03172020,Wilson Track Mile ,4.0,2.0,seg,run
03172020,Wilson track lap,5.0,2.0,seg,run
03172020,Wilson track lap,5.0,2.0,seg,run
03172020,Wilson track lap,5.0,2.0,seg,run
03172020,Wilson track lap,5.0,2.0,seg,run
03172020,Wilson Track Mile ,4.0,2.0,seg,run
03172020,Wilson track lap,5.0,2.0,seg,run
03172020,Wilson track lap,5.0,2.0,seg,run
03172020,Wilson track lap,5.0,2.0,seg,run
03172020,Wilson track lap,5.0,2.0,seg,run
03172020,Wilson Track Mile ,4.0,2.0,seg,run
03172020,Wilson track lap,5.0,2.0,seg,run
03172020,Wilson track lap,5.0,2.0,seg,run
03172020,Wilson track lap,5.0,2.0,seg,run
03172020,Rocky Rumble Tumble Reverse,5.0,2.0,seg,run
03152020,Sheridan Road Climb,71.0,1.0,seg,run
03142020,Custer/South Blvd Saunter,40.0,5.0,seg,run
03142020,Northwestern - Lakefront Northbound,25.0,5.0,seg,run
03142020,NU sheridan Rd,18.0,5.0,seg,run
03142020,Vendra 1 - Evanston Beach,30.0,5.0,seg,run
03142020,Dawes Park 400m,47.0,5.0,seg,run
03112020,ETHS - Hot Lap,8.0,2.0,seg,run
03112020,ETHS - Hot Lap,8.0,2.0,seg,run
03112020,ETHS - Hot Lap,8.0,2.0,seg,run
03112020,ETHS Mile,8.0,2.0,seg,run
03112020,ETHS - Hot Lap,8.0,2.0,seg,run
03112020,ETHS - Hot Lap,8.0,2.0,seg,run
03112020,ETHS - Hot Lap,8.0,2.0,seg,run
03112020,ETHS - Hot Lap,8.0,2.0,seg,run
03112020,ETHS Mile,8.0,2.0,seg,run
03112020,ETHS - Hot Lap,8.0,2.0,seg,run
03112020,ETHS - Hot Lap,8.0,2.0,seg,run
03112020,ETHS - Hot Lap,8.0,2.0,seg,run
03112020,ETHS - Hot Lap,8.0,2.0,seg,run
03112020,ETHS Mile,8.0,2.0,seg,run
03112020,ETHS - Hot Lap,8.0,2.0,seg,run
03112020,ETHS - Hot Lap,8.0,2.0,seg,run
03112020,ETHS - Hot Lap,8.0,2.0,seg,run
03112020,ETHS - Hot Lap,8.0,2.0,seg,run
03112020,ETHS Mile,8.0,2.0,seg,run
03112020,ETHS - Hot Lap,8.0,2.0,seg,run
03112020,ETHS - Hot Lap,8.0,2.0,seg,run
03112020,ETHS - Hot Lap,8.0,2.0,seg,run
03112020,ETHS - Hot Lap,8.0,2.0,seg,run
03112020,ETHS Mile,8.0,2.0,seg,run
03102020,Sheridan Road Climb,71.0,4.0,seg,run
03102020,Lakefront : south blvd to Greenleaf,45.0,4.0,seg,run
03102020,Lee to Hamilton 400m,48.0,4.0,seg,run
03102020,Dawes Park 400m,47.0,4.0,seg,run
03072020,"Lakeshore pedestrian path, Addison to Aldine",21.0,41.0,seg,run
03072020,Lake Shore (Irving to Roscoe),23.0,41.0,seg,run
03072020,Downhill Belmont Harbor,21.0,41.0,seg,run
03072020,Diversey Bridge to Belmont Harbor,14.0,41.0,seg,run
03072020,Belmont to Fullerton Mile,1.0,41.0,seg,run
03072020,Fullerton Lakeline Detour,1.0,41.0,seg,run
03072020,Lake Front - South Lagoon,9.0,41.0,seg,run
03072020,Behind the Chess Pavilion,3.0,41.0,seg,run
03072020,Burst of Speed,3.0,41.0,seg,run
03072020,Lake Shore Curve South,2.0,41.0,seg,run
03072020,Lakefront Mile,1.0,41.0,seg,run
03072020,The cement beach ,1.0,41.0,seg,run
03072020,3 miles to Navy Pier South,1.0,41.0,seg,run
03072020,to the steps,3.0,41.0,seg,run
03072020,E Walton St Climb,3.0,41.0,seg,run
03072020,Ohio to Oak,3.0,41.0,seg,run
03072020,Lake Shore Curve North,5.0,41.0,seg,run
03072020,Oak St. to Division Underpass,5.0,41.0,seg,run
03072020,N Dearborn Pkwy Climb,8.0,41.0,seg,run
03072020,Kudos to Cooler Temps,7.0,41.0,seg,run
03072020,Underpass to Volleyball Shack,5.0,41.0,seg,run
03072020,Lake Front Sandy Path,10.0,41.0,seg,run
03072020,New Fullerton Path,12.0,41.0,seg,run
03072020,The Grind: 48,5.0,41.0,seg,run
03072020,N. Ave Bridge to Belmont Sign,11.0,41.0,seg,run
03072020,Div to Belmont Sprint.,21.0,41.0,seg,run
03072020,Weav Run RACE THIS 5K CHALLENGE!,6.0,41.0,seg,run
03072020,"Lakeshore pedestrian path, Barry to Addison",24.0,41.0,seg,run
03072020,Recreation Drive Sprint,24.0,41.0,seg,run
03072020,Belmont Harbor to Irving Park Rd,22.0,41.0,seg,run
03072020,Homeward bound,3.0,41.0,seg,run
03072020,Tennis Court Tree Lines,23.0,41.0,seg,run
03072020,Irving Park to Montrose,8.0,41.0,seg,run
03072020,Montrose to Wilson LFP,5.0,41.0,seg,run
03072020,Lakefront Trail (Montrose to Lawrence),5.0,41.0,seg,run
03072020,Wilson to Lawrence,5.0,41.0,seg,run
03072020,Lawrence to Foster,5.0,41.0,seg,run
03072020,Foster to Lawrence,5.0,41.0,seg,run
