Sheridan Road Climb,Lakefront : south blvd to Greenleaf,Lee to Hamilton 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinman downtown route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Road Climb,Lakefront : south blvd to Greenleaf,Lee to Hamilton 400m,Dawes Park 400m,Vendra 2 - Evanston Beach,Northwestern - Lakefront Northbound,Lakefill Loop,Northwestern - Lakefront Southbound,Vendra 1 - Evanston Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Road Climb,Lakefront : south blvd to Greenleaf,Lee to Hamilton 400m,Dawes Park 400m,Clark St - Sheridan to Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilson track lap,Wilson track lap,Wilson track lap,Wilson Track Mile ,Wilson track lap,Wilson track lap,Wilson track lap,Wilson track lap,Wilson Track Mile ,Wilson track lap,Wilson track lap,Wilson track lap,Wilson track lap,Wilson Track Mile ,Wilson track lap,Wilson track lap,Wilson track lap,Wilson track lap,Wilson Track Mile ,Wilson track lap,,,,,,,,,,,,,,,,,,,,,
Rocky Rumble Tumble Reverse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premium Sidewalk,Sheridan Hill to Gillson Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custer/South Blvd Saunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilson track lap,Wilson track lap,Wilson track lap,Wilson Track Mile ,Wilson track lap,Wilson track lap,Wilson track lap,Wilson track lap,Wilson Track Mile ,Wilson track lap,Wilson track lap,Wilson track lap,Wilson track lap,Wilson Track Mile ,Wilson track lap,Wilson track lap,Wilson track lap,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Rumble Tumble Reverse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Road Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custer/South Blvd Saunter,Northwestern - Lakefront Northbound,NU sheridan Rd,Vendra 1 - Evanston Beach,Dawes Park 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,,,,,,,,,,,,,,,,,
Sheridan Road Climb,Lakefront : south blvd to Greenleaf,Lee to Hamilton 400m,Dawes Park 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
